Question,Option1,Option2,Option3,CorrectAnswer
"¿Quién es el enemigo principal en la serie?", "Draco Malfoy", "Lord Voldemort", "Albus Dumbledore", "Lord Voldemort"
"¿Cuántos jugadores hay en un equipo de Quidditch?", "5", "7", "11", "7"
"¿Cuál es la casa de Harry Potter en Hogwarts?", "Gryffindor", "Slytherin", "Ravenclaw", "Gryffindor"
"¿Quién es el mejor amigo de Ron Weasley?", "Harry Potter", "Hermione Granger", "Neville Longbottom", "Harry Potter"
"¿Qué animal es el Animagus de James Potter?", "Perro", "Gato", "Ciervo", "Ciervo"
"¿Quién es el profesor de Defensa Contra las Artes Oscuras en el primer año de Harry?", "Severus Snape", "Quirinus Quirrell", "Remus Lupin", "Quirinus Quirrell"
"¿Qué hechizo se usa para desarmar a alguien?", "Expelliarmus", "Stupefy", "Lumos", "Expelliarmus"
"¿Qué es el Horrocrux de Slytherin?", "Un diario", "Un collar", "Una diadema", "Un collar"
"¿Quién mata a Bellatrix Lestrange?", "Molly Weasley", "Harry Potter", "Neville Longbottom", "Molly Weasley"
"¿Cuál es el patronus de Severus Snape?", "Liebre", "Venado", "Cierva", "Cierva"
"¿Qué es la Marauder's Map?", "Un mapa de Hogwarts", "Un libro de hechizos", "Una varita mágica", "Un mapa de Hogwarts"
"¿Quién es el guardián de Azkaban?", "Dementores", "Centauros", "Duendes", "Dementores"
"¿Qué criatura mágica vive en el Bosque Prohibido?", "Unicornio", "Acromántula", "Hipogrifo", "Acromántula"
"¿Qué hechizo convoca objetos?", "Accio", "Wingardium Leviosa", "Lumos", "Accio"
"¿Quién es el autor de 'Quidditch Through the Ages'?", "Gilderoy Lockhart", "Albus Dumbledore", "Kennilworthy Whisp", "Kennilworthy Whisp"
"¿A qué escuela de magia va Fleur Delacour?", "Beauxbatons", "Durmstrang", "Hogwarts", "Beauxbatons"
"¿Cuál es el hechizo para encender la punta de una varita?", "Lumos", "Incendio", "Aguamenti", "Lumos"
"¿Quién es el padre de Neville Longbottom?", "Frank Longbottom", "Arthur Weasley", "James Potter", "Frank Longbottom"
"¿Cuál es el núcleo de la varita de Harry?", "Pelo de unicornio", "Pluma de fénix", "Nervio de dragón", "Pluma de fénix"
"¿Qué animal guarda el secreto de la Piedra Filosofal?", "Cerbero", "Basilisco", "Hipogrifo", "Cerbero"
